#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2E234174798AA504-16A57280EAFA4661
#datatype	hitsFull Results
#status	0
#Start time	2021-08-15T00:37:16	Run time	0:00:00:46
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#25 - >hiw:NTHI477_00040 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	282	4.44192e-89	266.601	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#26 - >hic:NTHIC486_01090 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	specific	400326	25	282	2.78549e-92	274.691	pfam07922	Glyco_transf_52	 - 	cl40640
Q#26 - >hic:NTHIC486_01090 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	282	2.78549e-92	274.691	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#26 - >hic:NTHIC486_01090 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	282	2.78549e-92	274.691	pfam07922	Glyco_transf_52	 - 	cl40640
Q#27 - >hix:NTHI723_01767 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	specific	400326	25	282	2.78549e-92	274.691	pfam07922	Glyco_transf_52	 - 	cl40640
Q#27 - >hix:NTHI723_01767 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	282	2.78549e-92	274.691	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#27 - >hix:NTHI723_01767 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	282	2.78549e-92	274.691	pfam07922	Glyco_transf_52	 - 	cl40640
Q#28 - >hpr:PARA_02800 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) cps8k (A)	non-specific	400326	25	274	2.75066e-30	114.833	pfam07922	Glyco_transf_52	 - 	cl40640
Q#28 - >hpr:PARA_02800 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) cps8k (A)	superfamily	424271	25	274	2.75066e-30	114.833	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#29 - >hay:C3V42_00560 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	specific	400326	25	282	3.26763e-91	271.994	pfam07922	Glyco_transf_52	 - 	cl40640
Q#29 - >hay:C3V42_00560 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	282	3.26763e-91	271.994	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#30 - >hhz:NCTC10839_00783 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst_1; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	283	1.00582e-25	103.277	pfam07922	Glyco_transf_52	 - 	cl40640
Q#30 - >hhz:NCTC10839_00783 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst_1; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	283	1.00582e-25	103.277	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#31 - >hhz:NCTC10839_01643 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst_2; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	specific	400326	25	282	6.85393e-91	271.224	pfam07922	Glyco_transf_52	 - 	cl40640
Q#31 - >hhz:NCTC10839_01643 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst_2; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	282	6.85393e-91	271.224	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#32 - >haeg:NCTC8502_01883 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alph a-2,3-sialyltransferase (A)	specific	400326	25	282	1.42626e-94	280.854	pfam07922	Glyco_transf_52	 - 	cl40640
Q#32 - >haeg:NCTC8502_01883 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alph a-2,3-sialyltransferase (A)	superfamily	424271	25	282	1.42626e-94	280.854	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#33 - >hap:HAPS_0042 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lsgB; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase/lipopolysaccharide biosynthesis protein (A)	non-specific	400326	25	296	1.09332e-35	129.855	pfam07922	Glyco_transf_52	 - 	cl40640
Q#33 - >hap:HAPS_0042 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lsgB; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase/lipopolysaccharide biosynthesis protein (A)	superfamily	424271	25	296	1.09332e-35	129.855	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#34 - >hpas:JL26_05900 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	400326	25	308	2.20902e-22	94.4171	pfam07922	Glyco_transf_52	 - 	cl40640
Q#34 - >hpas:JL26_05900 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	superfamily	424271	25	308	2.20902e-22	94.4171	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#34 - >hpas:JL26_05900 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) hypothetical protein (A)	non-specific	399987	2	250	0.00498443	38.2987	pfam07388	A-2_8-polyST	C	cl40640
Q#35 - >hpak:JT17_03410 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	296	2.07249e-36	131.781	pfam07922	Glyco_transf_52	 - 	cl40640
Q#35 - >hpak:JT17_03410 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	296	2.07249e-36	131.781	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#36 - >hpak:JT17_04115 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	282	3.23838e-63	200.732	pfam07922	Glyco_transf_52	 - 	cl40640
Q#36 - >hpak:JT17_04115 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	282	3.23838e-63	200.732	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#37 - >gle:CJD39_01140 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	non-specific	400326	25	282	1.06059e-61	196.88	pfam07922	Glyco_transf_52	 - 	cl40640
Q#37 - >gle:CJD39_01140 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	25	282	1.06059e-61	196.88	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#38 - >hsm:HSM_1794 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) glycosyltransferase family 52 (A)	non-specific	400326	33	288	1.76513e-42	147.189	pfam07922	Glyco_transf_52	 - 	cl40640
Q#38 - >hsm:HSM_1794 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) glycosyltransferase family 52 (A)	superfamily	424271	33	288	1.76513e-42	147.189	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#39 - >pmu:PM0508 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) unknown (A)	specific	400326	25	283	3.5385e-95	282.395	pfam07922	Glyco_transf_52	 - 	cl40640
Q#39 - >pmu:PM0508 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) unknown (A)	superfamily	424271	25	283	3.5385e-95	282.395	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#40 - >pmv:PMCN06_0534 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	specific	400326	26	283	2.15334e-93	277.772	pfam07922	Glyco_transf_52	 - 	cl40640
Q#40 - >pmv:PMCN06_0534 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) lst; CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (A)	superfamily	424271	26	283	2.15334e-93	277.772	cl40640	A-2_8-polyST superfamily	 - 	 - 
Q#41 - >pul:NT08PM_0798 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) glycosyltransferase family 52 (A)	specific	400326	26	283	5.14845e-93	277.002	pfam07922	Glyco_transf_52	 - 	cl40640
Q#41 - >pul:NT08PM_0798 K00785 N-acetyllactosaminide alpha-2,3-sialyltransferase [EC:2.4.99.6] | (GenBank) glycosyltransferase family 52 (A)	superfamily	424271	26	283	5.14845e-93	277.002	cl40640	A-2_8-polyST superfamily	 - 	 - 
